City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
130,nadym,100.0,RU,1665343623.0,90.0,65.5333,72.5167,43.74,17.63
131,hasaki,100.0,JP,1665343624.0,91.0,35.7333,140.8333,59.4,7.36
132,wilmington,0.0,US,1665343514.0,52.0,34.2257,-77.9447,75.85,9.22
133,bengkulu,100.0,ID,1665343624.0,88.0,-3.8004,102.2655,75.63,3.53
134,namatanai,100.0,PG,1665343625.0,70.0,-3.6667,152.4333,77.09,7.11
135,waddan,0.0,LY,1665343625.0,35.0,29.1614,16.139,75.88,7.78
136,mahebourg,75.0,MU,1665343631.0,73.0,-20.4081,57.7,72.25,10.36
137,kaduqli,100.0,SD,1665343631.0,84.0,11.0167,29.7167,74.1,4.45
138,yining,16.0,CN,1665343631.0,73.0,29.0361,114.5636,46.27,1.21
139,kings mountain,75.0,US,1665343632.0,50.0,35.2451,-81.3412,66.72,4.61
140,biltine,78.0,TD,1665343632.0,40.0,14.5333,20.9167,88.2,6.89
141,araouane,7.0,ML,1665343632.0,11.0,18.9048,-3.5265,97.39,6.55
142,castro,98.0,BR,1665343633.0,55.0,-24.7911,-50.0119,76.64,5.39
143,high prairie,100.0,CA,1665343633.0,41.0,55.4334,-116.4858,64.74,10.04
144,husavik,100.0,IS,1665343633.0,98.0,66.0449,-17.3389,36.48,41.63
145,san luis,0.0,AR,1665343603.0,11.0,-33.295,-66.3356,67.15,5.32
146,fortuna,20.0,US,1665343634.0,100.0,40.5982,-124.1573,58.12,9.22
147,laurens,31.0,US,1665343634.0,57.0,32.4502,-82.9165,82.89,2.13
148,saldanha,100.0,ZA,1665343634.0,87.0,-33.0117,17.9442,62.65,16.44
149,todos santos,0.0,MX,1665343635.0,72.0,23.45,-110.2167,93.31,8.21
150,gat,0.0,IL,1665343454.0,58.0,31.61,34.7642,72.28,6.04
151,nueva helvecia,1.0,UY,1665343635.0,26.0,-34.3,-57.2333,63.59,8.08
152,atbasar,13.0,KZ,1665343636.0,69.0,51.8,68.3333,41.97,6.62
153,pangody,100.0,RU,1665343636.0,93.0,65.85,74.4859,41.83,14.76
154,bambous virieux,75.0,MU,1665343636.0,73.0,-20.3428,57.7575,72.21,10.36
155,namibe,29.0,AO,1665343637.0,85.0,-15.1961,12.1522,68.92,5.35
156,angoche,0.0,MZ,1665343637.0,79.0,-16.2325,39.9086,76.6,10.69
157,mitu,100.0,CO,1665343637.0,49.0,1.1983,-70.1733,89.85,0.25
158,monywa,12.0,MM,1665343638.0,83.0,22.1167,95.1333,80.06,0.63
159,naze,48.0,JP,1665343638.0,77.0,28.3667,129.4833,72.52,13.53
160,uvarovo,100.0,RU,1665343638.0,68.0,51.9849,42.2615,52.02,7.29
161,barrow,100.0,US,1665343639.0,93.0,71.2906,-156.7887,30.22,4.61
162,comodoro rivadavia,0.0,AR,1665343639.0,18.0,-45.8667,-67.5,67.86,16.11
163,inhambane,0.0,MZ,1665343639.0,94.0,-23.865,35.3833,75.18,6.91
164,lagoa,0.0,PT,1665343640.0,93.0,39.05,-27.9833,70.65,12.28
165,novopokrovka,100.0,UA,1665343640.0,72.0,49.8425,36.5477,59.25,2.1
166,voh,91.0,NC,1665343640.0,77.0,-20.9667,164.7,74.19,5.23
167,coahuayana,4.0,MX,1665343641.0,54.0,18.7333,-103.6833,91.04,4.38
168,balkhash,6.0,KZ,1665343641.0,56.0,46.844,74.9804,46.81,8.95
169,sur,5.0,OM,1665343641.0,66.0,22.5667,59.5289,80.15,0.58
170,starodub,100.0,RU,1665343642.0,98.0,52.5844,32.7633,48.9,6.87
171,san quintin,6.0,MX,1665343642.0,71.0,30.4833,-115.95,74.25,10.78
172,faya,0.0,SA,1665343642.0,24.0,18.3851,42.4509,64.92,7.49
173,sao felix do xingu,67.0,BR,1665343643.0,27.0,-6.6447,-51.995,97.59,10.65
174,bac lieu,77.0,VN,1665343643.0,86.0,9.285,105.7244,77.49,2.1
175,marawi,85.0,PH,1665343643.0,92.0,7.9986,124.2928,68.74,2.24
